title,author,price,publisher,isbn,contributor,date,rank,rank_last_week,weeks_on_list
A WORLD OF CURIOSITIES,Louise Penny,0.00,Minotaur,1250145317,by Louise Penny,2022-12-18,1,0,1
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-12-18,2,1,7
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-12-18,3,3,77
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-12-18,4,4,52
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-12-18,5,6,7
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-12-18,6,10,4
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-12-18,7,9,13
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-12-18,8,5,189
TRIPLE CROSS,James Patterson,0.00,"Little, Brown",0316499188,by James Patterson,2022-12-18,9,0,3
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-12-18,10,7,47
DEMON COPPERHEAD,Barbara Kingsolver,0.00,Harper,0063251922,by Barbara Kingsolver,2022-12-18,11,0,4
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-12-18,12,12,74
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316485659,by Michael Connelly,2022-12-18,13,14,4
THE CHOICE,Nora Roberts,0.00,St. Martin's,1250272726,by Nora Roberts,2022-12-18,14,2,2
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,0.00,Ballantine,1984818384,by Jodi Picoult and Jennifer Finney Boylan,2022-12-18,15,15,8
A WORLD OF CURIOSITIES,Louise Penny,0.00,Minotaur,1250145317,by Louise Penny,2022-12-17,1,0,1
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-12-17,2,1,7
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-12-17,3,3,77
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-12-17,4,4,52
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-12-17,5,6,7
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-12-17,6,10,4
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-12-17,7,9,13
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-12-17,8,5,189
TRIPLE CROSS,James Patterson,0.00,"Little, Brown",0316499188,by James Patterson,2022-12-17,9,0,3
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-12-17,10,7,47
DEMON COPPERHEAD,Barbara Kingsolver,0.00,Harper,0063251922,by Barbara Kingsolver,2022-12-17,11,0,4
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-12-17,12,12,74
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316485659,by Michael Connelly,2022-12-17,13,14,4
THE CHOICE,Nora Roberts,0.00,St. Martin's,1250272726,by Nora Roberts,2022-12-17,14,2,2
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,0.00,Ballantine,1984818384,by Jodi Picoult and Jennifer Finney Boylan,2022-12-17,15,15,8
A WORLD OF CURIOSITIES,Louise Penny,0.00,Minotaur,1250145317,by Louise Penny,2022-12-16,1,0,1
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-12-16,2,1,7
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-12-16,3,3,77
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-12-16,4,4,52
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-12-16,5,6,7
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-12-16,6,10,4
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-12-16,7,9,13
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-12-16,8,5,189
TRIPLE CROSS,James Patterson,0.00,"Little, Brown",0316499188,by James Patterson,2022-12-16,9,0,3
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-12-16,10,7,47
DEMON COPPERHEAD,Barbara Kingsolver,0.00,Harper,0063251922,by Barbara Kingsolver,2022-12-16,11,0,4
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-12-16,12,12,74
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316485659,by Michael Connelly,2022-12-16,13,14,4
THE CHOICE,Nora Roberts,0.00,St. Martin's,1250272726,by Nora Roberts,2022-12-16,14,2,2
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,0.00,Ballantine,1984818384,by Jodi Picoult and Jennifer Finney Boylan,2022-12-16,15,15,8
A WORLD OF CURIOSITIES,Louise Penny,0.00,Minotaur,1250145317,by Louise Penny,2022-12-15,1,0,1
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-12-15,2,1,7
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-12-15,3,3,77
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-12-15,4,4,52
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-12-15,5,6,7
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-12-15,6,10,4
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-12-15,7,9,13
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-12-15,8,5,189
TRIPLE CROSS,James Patterson,0.00,"Little, Brown",0316499188,by James Patterson,2022-12-15,9,0,3
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-12-15,10,7,47
DEMON COPPERHEAD,Barbara Kingsolver,0.00,Harper,0063251922,by Barbara Kingsolver,2022-12-15,11,0,4
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-12-15,12,12,74
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316485659,by Michael Connelly,2022-12-15,13,14,4
THE CHOICE,Nora Roberts,0.00,St. Martin's,1250272726,by Nora Roberts,2022-12-15,14,2,2
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,0.00,Ballantine,1984818384,by Jodi Picoult and Jennifer Finney Boylan,2022-12-15,15,15,8
A WORLD OF CURIOSITIES,Louise Penny,0.00,Minotaur,1250145317,by Louise Penny,2022-12-14,1,0,1
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-12-14,2,1,7
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-12-14,3,3,77
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-12-14,4,4,52
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-12-14,5,6,7
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-12-14,6,10,4
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-12-14,7,9,13
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-12-14,8,5,189
TRIPLE CROSS,James Patterson,0.00,"Little, Brown",0316499188,by James Patterson,2022-12-14,9,0,3
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-12-14,10,7,47
DEMON COPPERHEAD,Barbara Kingsolver,0.00,Harper,0063251922,by Barbara Kingsolver,2022-12-14,11,0,4
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-12-14,12,12,74
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316485659,by Michael Connelly,2022-12-14,13,14,4
THE CHOICE,Nora Roberts,0.00,St. Martin's,1250272726,by Nora Roberts,2022-12-14,14,2,2
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,0.00,Ballantine,1984818384,by Jodi Picoult and Jennifer Finney Boylan,2022-12-14,15,15,8
A WORLD OF CURIOSITIES,Louise Penny,0.00,Minotaur,1250145317,by Louise Penny,2022-12-13,1,0,1
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-12-13,2,1,7
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-12-13,3,3,77
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-12-13,4,4,52
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-12-13,5,6,7
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-12-13,6,10,4
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-12-13,7,9,13
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-12-13,8,5,189
TRIPLE CROSS,James Patterson,0.00,"Little, Brown",0316499188,by James Patterson,2022-12-13,9,0,3
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-12-13,10,7,47
DEMON COPPERHEAD,Barbara Kingsolver,0.00,Harper,0063251922,by Barbara Kingsolver,2022-12-13,11,0,4
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-12-13,12,12,74
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316485659,by Michael Connelly,2022-12-13,13,14,4
THE CHOICE,Nora Roberts,0.00,St. Martin's,1250272726,by Nora Roberts,2022-12-13,14,2,2
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,0.00,Ballantine,1984818384,by Jodi Picoult and Jennifer Finney Boylan,2022-12-13,15,15,8
A WORLD OF CURIOSITIES,Louise Penny,0.00,Minotaur,1250145317,by Louise Penny,2022-12-12,1,0,1
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-12-12,2,1,7
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-12-12,3,3,77
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-12-12,4,4,52
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-12-12,5,6,7
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-12-12,6,10,4
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-12-12,7,9,13
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-12-12,8,5,189
TRIPLE CROSS,James Patterson,0.00,"Little, Brown",0316499188,by James Patterson,2022-12-12,9,0,3
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-12-12,10,7,47
DEMON COPPERHEAD,Barbara Kingsolver,0.00,Harper,0063251922,by Barbara Kingsolver,2022-12-12,11,0,4
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-12-12,12,12,74
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316485659,by Michael Connelly,2022-12-12,13,14,4
THE CHOICE,Nora Roberts,0.00,St. Martin's,1250272726,by Nora Roberts,2022-12-12,14,2,2
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,0.00,Ballantine,1984818384,by Jodi Picoult and Jennifer Finney Boylan,2022-12-12,15,15,8
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-12-11,1,1,6
THE CHOICE,Nora Roberts,0.00,St. Martin's,1250272734,by Nora Roberts,2022-12-11,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-12-11,3,3,76
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-12-11,4,5,51
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-12-11,5,8,188
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-12-11,6,4,6
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-12-11,7,11,46
THE WHITTIERS,Danielle Steel,0.00,Delacorte,1984821830,by Danielle Steel,2022-12-11,8,0,1
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-12-11,9,7,12
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-12-11,10,10,3
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-12-11,11,14,33
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-12-11,12,15,73
A CHRISTMAS MEMORY,Richard Paul Evans,0.00,Gallery,1982177446,by Richard Paul Evans,2022-12-11,13,0,1
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316421464,by Michael Connelly,2022-12-11,14,6,3
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,0.00,Ballantine,1984818384,by Jodi Picoult and Jennifer Finney Boylan,2022-12-11,15,0,7
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-12-10,1,1,6
THE CHOICE,Nora Roberts,0.00,St. Martin's,1250272734,by Nora Roberts,2022-12-10,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-12-10,3,3,76
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-12-10,4,5,51
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-12-10,5,8,188
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-12-10,6,4,6
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-12-10,7,11,46
THE WHITTIERS,Danielle Steel,0.00,Delacorte,1984821830,by Danielle Steel,2022-12-10,8,0,1
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-12-10,9,7,12
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-12-10,10,10,3
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-12-10,11,14,33
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-12-10,12,15,73
A CHRISTMAS MEMORY,Richard Paul Evans,0.00,Gallery,1982177446,by Richard Paul Evans,2022-12-10,13,0,1
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316421464,by Michael Connelly,2022-12-10,14,6,3
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,0.00,Ballantine,1984818384,by Jodi Picoult and Jennifer Finney Boylan,2022-12-10,15,0,7
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-12-09,1,1,6
THE CHOICE,Nora Roberts,0.00,St. Martin's,1250272734,by Nora Roberts,2022-12-09,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-12-09,3,3,76
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-12-09,4,5,51
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-12-09,5,8,188
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-12-09,6,4,6
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-12-09,7,11,46
THE WHITTIERS,Danielle Steel,0.00,Delacorte,1984821830,by Danielle Steel,2022-12-09,8,0,1
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-12-09,9,7,12
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-12-09,10,10,3
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-12-09,11,14,33
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-12-09,12,15,73
A CHRISTMAS MEMORY,Richard Paul Evans,0.00,Gallery,1982177446,by Richard Paul Evans,2022-12-09,13,0,1
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316421464,by Michael Connelly,2022-12-09,14,6,3
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,0.00,Ballantine,1984818384,by Jodi Picoult and Jennifer Finney Boylan,2022-12-09,15,0,7
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-12-08,1,1,6
THE CHOICE,Nora Roberts,0.00,St. Martin's,1250272734,by Nora Roberts,2022-12-08,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-12-08,3,3,76
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-12-08,4,5,51
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-12-08,5,8,188
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-12-08,6,4,6
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-12-08,7,11,46
THE WHITTIERS,Danielle Steel,0.00,Delacorte,1984821830,by Danielle Steel,2022-12-08,8,0,1
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-12-08,9,7,12
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-12-08,10,10,3
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-12-08,11,14,33
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-12-08,12,15,73
A CHRISTMAS MEMORY,Richard Paul Evans,0.00,Gallery,1982177446,by Richard Paul Evans,2022-12-08,13,0,1
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316421464,by Michael Connelly,2022-12-08,14,6,3
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,0.00,Ballantine,1984818384,by Jodi Picoult and Jennifer Finney Boylan,2022-12-08,15,0,7
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-12-07,1,1,6
THE CHOICE,Nora Roberts,0.00,St. Martin's,1250272734,by Nora Roberts,2022-12-07,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-12-07,3,3,76
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-12-07,4,5,51
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-12-07,5,8,188
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-12-07,6,4,6
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-12-07,7,11,46
THE WHITTIERS,Danielle Steel,0.00,Delacorte,1984821830,by Danielle Steel,2022-12-07,8,0,1
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-12-07,9,7,12
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-12-07,10,10,3
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-12-07,11,14,33
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-12-07,12,15,73
A CHRISTMAS MEMORY,Richard Paul Evans,0.00,Gallery,1982177446,by Richard Paul Evans,2022-12-07,13,0,1
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316421464,by Michael Connelly,2022-12-07,14,6,3
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,0.00,Ballantine,1984818384,by Jodi Picoult and Jennifer Finney Boylan,2022-12-07,15,0,7
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-12-06,1,1,6
THE CHOICE,Nora Roberts,0.00,St. Martin's,1250272734,by Nora Roberts,2022-12-06,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-12-06,3,3,76
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-12-06,4,5,51
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-12-06,5,8,188
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-12-06,6,4,6
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-12-06,7,11,46
THE WHITTIERS,Danielle Steel,0.00,Delacorte,1984821830,by Danielle Steel,2022-12-06,8,0,1
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-12-06,9,7,12
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-12-06,10,10,3
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-12-06,11,14,33
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-12-06,12,15,73
A CHRISTMAS MEMORY,Richard Paul Evans,0.00,Gallery,1982177446,by Richard Paul Evans,2022-12-06,13,0,1
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316421464,by Michael Connelly,2022-12-06,14,6,3
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,0.00,Ballantine,1984818384,by Jodi Picoult and Jennifer Finney Boylan,2022-12-06,15,0,7
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-12-05,1,1,6
THE CHOICE,Nora Roberts,0.00,St. Martin's,1250272734,by Nora Roberts,2022-12-05,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-12-05,3,3,76
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-12-05,4,5,51
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-12-05,5,8,188
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-12-05,6,4,6
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-12-05,7,11,46
THE WHITTIERS,Danielle Steel,0.00,Delacorte,1984821830,by Danielle Steel,2022-12-05,8,0,1
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-12-05,9,7,12
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-12-05,10,10,3
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-12-05,11,14,33
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-12-05,12,15,73
A CHRISTMAS MEMORY,Richard Paul Evans,0.00,Gallery,1982177446,by Richard Paul Evans,2022-12-05,13,0,1
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316421464,by Michael Connelly,2022-12-05,14,6,3
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,0.00,Ballantine,1984818384,by Jodi Picoult and Jennifer Finney Boylan,2022-12-05,15,0,7
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-12-04,1,1,5
THE LOST METAL,Brandon Sanderson,0.00,Tor,0765391198,by Brandon Sanderson,2022-12-04,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-12-04,3,3,75
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-12-04,4,4,5
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-12-04,5,5,50
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316485659,by Michael Connelly,2022-12-04,6,2,2
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-12-04,7,10,11
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-12-04,8,12,187
NO PLAN B,Lee Child and Andrew Child,0.00,Delacorte,1984818546,by Lee Child and Andrew Child,2022-12-04,9,6,4
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-12-04,10,14,2
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-12-04,11,7,45
GOING ROGUE,Janet Evanovich,0.00,Atria,1668003058,by Janet Evanovich,2022-12-04,12,9,3
A LIGHT IN THE FLAME,Jennifer L. Armentrout,0.00,Blue Box,1957568151,by Jennifer L. Armentrout,2022-12-04,13,0,1
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-12-04,14,8,32
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-12-04,15,13,72
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-12-03,1,1,5
THE LOST METAL,Brandon Sanderson,0.00,Tor,0765391198,by Brandon Sanderson,2022-12-03,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-12-03,3,3,75
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-12-03,4,4,5
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-12-03,5,5,50
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316485659,by Michael Connelly,2022-12-03,6,2,2
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-12-03,7,10,11
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-12-03,8,12,187
NO PLAN B,Lee Child and Andrew Child,0.00,Delacorte,1984818546,by Lee Child and Andrew Child,2022-12-03,9,6,4
